Country,Confirmed,Deaths,Recovered,Active,Cases per 100 000,Inhabitants,Urban population (%)
Afghanistan,57534,2533,52083,2918,145,39540683,25.25
Albania,129128,2335,100013,26780,4468,2890031,59.383
Algeria,119142,3144,83048,32950,267,44464636,72.052
Andorra,12641,121,11989,531,16317,77471,88.15
Angola,23951,557,22175,1219,71,33449555,64.839
Antigua and Barbuda,1209,31,947,231,1224,98760,24.713
Argentina,2629156,58925,2300232,269999,5770,45565509,91.749
Armenia,206142,3817,185125,17200,6926,2976041,63.103
Australia,29484,910,23114,5460,114,25723124,85.904
Austria,586883,9813,547604,29466,6487,9045910,58.094
Azerbaijan,294211,4045,257942,32224,2875,10230448,55.343
Bahamas,9505,190,8965,350,2394,396982,82.925
Bahrain,160934,574,149159,11201,9255,1738865,89.186
Bangladesh,707362,10081,597214,100067,424,166681377,35.858
Barbados,3753,44,3638,71,1302,288241,31.159
Belarus,340023,2393,330483,7147,3597,9451379,78.134
Belgium,939309,23636,,915673,8077,11628008,97.961
Belize,12529,318,12141,70,3102,403775,45.601
Benin,7611,95,6728,788,61,12317830,46.768
Bhutan,934,1,876,57,119,780684,40.167
Bolivia,286114,12603,235495,38016,2422,11811801,69.08
Bosnia and Herzegovina,187715,7702,144932,35081,5734,3273599,47.876
Botswana,44075,671,39493,3911,1846,2387543,68.7
Brazil,13746681,365444,12084851,1296386,6411,214393462,86.309
Brunei,221,3,206,12,49,442211,77.312
Bulgaria,382761,14979,300391,67391,5539,6909055,74.669
Burkina Faso,13064,154,12730,180,61,21251454,28.743
Burma,142610,3206,131879,7525,260,54848699,30.322
Burundi,3424,6,773,2645,28,12093572,12.706
Cabo Verde,19780,188,17802,1790,3516,562461,65.261
Cambodia,5218,36,2319,2863,30,16938856,22.98
Cameroon,61731,919,35261,25551,228,26958062,55.777
Canada,1104508,23482,,999374,2906,37998307,81.35
Central African Republic,5682,75,5112,495,116,4884748,40.98
Chad,4673,168,4320,185,28,16689257,22.858
Chile,1101698,24766,1033189,43743,5706,19305836,87.49
China,102135,4845,96827,463,7,1446757893,57.96
Colombia,2602719,67199,2432061,103459,5054,51494377,80.446
Comoros,3809,146,3589,74,431,882408,28.784
Congo (Brazzaville),10084,139,8208,1737,180,5657013,66.459
