Country,Confirmed,Deaths,Inhabitants,Cases per 100 000,Recovered,Active
Afghanistan,57534.0,2533.0,39540683,145,52083.0,2918.0
Albania,129128.0,2335.0,2890031,4468,100013.0,26780.0
Algeria,119142.0,3144.0,44464636,267,83048.0,32950.0
Andorra,12641.0,121.0,77471,16317,11989.0,531.0
Angola,23951.0,557.0,33449555,71,22175.0,1219.0
Antigua and Barbuda,1209.0,31.0,98760,1224,947.0,231.0
Argentina,2629156.0,58925.0,45565509,5770,2300232.0,269999.0
Armenia,206142.0,3817.0,2976041,6926,185125.0,17200.0
Australia,29484.0,910.0,25723124,114,23114.0,5460.0
Austria,586883.0,9813.0,9045910,6487,547604.0,29466.0
Azerbaijan,294211.0,4045.0,10230448,2875,257942.0,32224.0
Bahamas,9505.0,190.0,396982,2394,8965.0,350.0
Bahrain,160934.0,574.0,1738865,9255,149159.0,11201.0
Bangladesh,707362.0,10081.0,166681377,424,597214.0,100067.0
Barbados,3753.0,44.0,288241,1302,3638.0,71.0
Belarus,340023.0,2393.0,9451379,3597,330483.0,7147.0
Belgium,939309.0,23636.0,11628008,8077,0.0,915673.0
Belize,12529.0,318.0,403775,3102,12141.0,70.0
Benin,7611.0,95.0,12317830,61,6728.0,788.0
Bhutan,934.0,1.0,780684,119,876.0,57.0
Bolivia,286114.0,12603.0,11811801,2422,235495.0,38016.0
Bosnia and Herzegovina,187715.0,7702.0,3273599,5734,144932.0,35081.0
Botswana,44075.0,671.0,2387543,1846,39493.0,3911.0
Brazil,13746681.0,365444.0,214393462,6411,12084851.0,1296386.0
Brunei,221.0,3.0,442211,49,206.0,12.0
Bulgaria,382761.0,14979.0,6909055,5539,300391.0,67391.0
Burkina Faso,13064.0,154.0,21251454,61,12730.0,180.0
Burma,142610.0,3206.0,54848699,260,131879.0,7525.0
Burundi,3424.0,6.0,12093572,28,773.0,2645.0
Cabo Verde,19780.0,188.0,562461,3516,17802.0,1790.0
Cambodia,5218.0,36.0,16938856,30,2319.0,2863.0
Cameroon,61731.0,919.0,26958062,228,35261.0,25551.0
Canada,1104508.0,23482.0,37998307,2906,999374.0,nan
Central African Republic,5682.0,75.0,4884748,116,5112.0,495.0
Chad,4673.0,168.0,16689257,28,4320.0,185.0
Chile,1101698.0,24766.0,19305836,5706,1033189.0,43743.0
China,102135.0,4845.0,1446757893,7,96827.0,463.0
Colombia,2602719.0,67199.0,51494377,5054,2432061.0,103459.0
Comoros,3809.0,146.0,882408,431,3589.0,74.0
Congo (Brazzaville),10084.0,139.0,5657013,180,8208.0,1737.0
Congo (Kinshasa),28769.0,745.0,86790000,32,25841.0,2183.0
Costa Rica,227533.0,3065.0,5145296,4422,196752.0,27716.0
Cote d'Ivoire,45444.0,273.0,26773561,169,44925.0,246.0
Croatia,300900.0,6442.0,4091793,7353,279151.0,15307.0
Cuba,90408.0,491.0,11346474,796,85121.0,4796.0
Cyprus,53944.0,283.0,1216679,4433,39061.0,14600.0
Czechia,1593847.0,28229.0,10721931,14865,1483559.0,82059.0
Denmark,241023.0,2450.0,5919223,4071,230063.0,8510.0
