Country_Region,Active
Afghanistan,2918.0
Albania,26780.0
Algeria,32950.0
Andorra,531.0
Angola,1219.0
Antigua and Barbuda,231.0
Argentina,269999.0
Armenia,17200.0
Australia,5460.0
Austria,29466.0
Azerbaijan,32224.0
Bahamas,350.0
Bahrain,11201.0
Bangladesh,100067.0
Barbados,71.0
Belarus,7147.0
Belgium,915673.0
Belize,70.0
Benin,788.0
Bhutan,57.0
Bolivia,38016.0
Bosnia and Herzegovina,35081.0
Botswana,3911.0
Brazil,1296386.0
Brunei,12.0
Bulgaria,67391.0
Burkina Faso,180.0
Burma,7525.0
Burundi,2645.0
Cabo Verde,1790.0
Cambodia,2863.0
Cameroon,25551.0
Canada,nan
Central African Republic,495.0
Chad,185.0
Chile,43743.0
China,463.0
Colombia,103459.0
Comoros,74.0
Congo (Brazzaville),1737.0
Congo (Kinshasa),2183.0
Costa Rica,27716.0
Cote d'Ivoire,246.0
Croatia,15307.0
Cuba,4796.0
Cyprus,14600.0
Czechia,82059.0
Denmark,8510.0
Diamond Princess,0.0
Djibouti,1420.0
Dominica,6.0
Dominican Republic,38621.0
Ecuador,39338.0
Egypt,39717.0
El Salvador,1564.0
Equatorial Guinea,268.0
Eritrea,196.0
Estonia,16040.0
Eswatini,60.0
Ethiopia,57390.0
Fiji,2.0
Finland,36368.0
France,4824756.0
Gabon,3215.0
Gambia,348.0
Georgia,8947.0
Germany,283120.0
Ghana,1379.0
Greece,205003.0
Grenada,2.0
Guatemala,12879.0
Guinea,2348.0
Guinea-Bissau,534.0
Guyana,1249.0
Haiti,882.0
Holy See,12.0
Honduras,117832.0
Hungary,271963.0
Iceland,80.0
India,1569743.0
Indonesia,108032.0
Iran,354151.0
Iraq,104639.0
Ireland,214218.0
Israel,2653.0
Italy,510023.0
Jamaica,23174.0
Japan,38876.0
Jordan,49211.0
Kazakhstan,37661.0
Kenya,47215.0
Korea (South),7937.0
Kosovo,12640.0
Kuwait,15254.0
Kyrgyzstan,3113.0
Laos,4.0
Latvia,6613.0
Lebanon,81367.0
Lesotho,5366.0
Liberia,58.0
Libya,11973.0
Liechtenstein,67.0
Lithuania,17842.0
Luxembourg,3201.0
MS Zaandam,0.0
Madagascar,4787.0
Malawi,1077.0
Malaysia,17575.0
Maldives,2630.0
Mali,5024.0
Malta,588.0
Marshall Islands,0.0
Mauritania,167.0
Mauritius,322.0
Mexico,318978.0
Micronesia,0.0
Moldova,11115.0
Monaco,88.0
Mongolia,7896.0
Montenegro,3665.0
Morocco,4967.0
Mozambique,7096.0
Namibia,1267.0
Nepal,4384.0
Netherlands,1365462.0
New Zealand,101.0
Nicaragua,2373.0
Niger,156.0
Nigeria,7734.0
North Macedonia,19937.0
Norway,87519.0
Oman,18002.0
Pakistan,78425.0
Panama,3929.0
Papua New Guinea,8260.0
Paraguay,39159.0
Peru,18988.0
Philippines,183527.0
Poland,342992.0
Portugal,25414.0
Qatar,21610.0
Romania,69106.0
Russia,267271.0
Rwanda,1618.0
Saint Kitts and Nevis,0.0
Saint Lucia,66.0
Saint Vincent and the Grenadines,131.0
Samoa,1.0
San Marino,253.0
Sao Tome and Principe,35.0
Saudi Arabia,9249.0
Senegal,178.0
Serbia,648989.0
Seychelles,389.0
Sierra Leone,1104.0
Singapore,288.0
Slovakia,107773.0
Slovenia,13010.0
Solomon Islands,1.0
Somalia,6835.0
South Africa,21300.0
South Sudan,154.0
Spain,3169427.0
Sri Lanka,3033.0
Sudan,5185.0
Suriname,522.0
Sweden,878719.0
Switzerland,302096.0
Syria,4830.0
Taiwan*,26.0
Tajikistan,0.0
Tanzania,305.0
Thailand,10483.0
Timor-Leste,572.0
Togo,2554.0
Trinidad and Tobago,685.0
Tunisia,38538.0
Turkey,516886.0
US,nan
Uganda,27.0
Ukraine,413377.0
United Arab Emirates,14866.0
United Kingdom,4254804.0
Uruguay,32136.0
Uzbekistan,1634.0
Vanuatu,2.0
Venezuela,15692.0
Vietnam,278.0
West Bank and Gaza,32127.0
Yemen,2382.0
Zambia,1019.0
Zimbabwe,911.0
